illegal fundraising,非法集资
distribute dividends,派息，分红
minimum enrollment mark,无
lowest mark for admission,无
share with friends,无
panel discussion,"na. 〈美〉小组讨论；在(电视或广播)听众面前开的专题讨论会
"
gag order,n. 禁言令，由法院下达，禁止涉案各方在公众场合谈论案情。; [法] 司法限制言论令
shotgun wedding,"n. 〈古,非正式〉奉子成婚
"
poverty threshold,无
paid live webcast,无
welfare lottery, 福利彩票；天朝福利彩票；福彩
comfort fund,无
paternity leave,"n. 陪产假（父亲照顾新生儿的休假）
"
dry spell,"un. 干期；连续干旱
"
be trendy,无
follow trends,无
be hip,无
be fashionable,无
rigid demand, 刚性需求；刚需
high-end dining sector,无
highway toll fee,无
high-risk group,"《英汉医学词典》high-risk group
高度危险人群"
emergency response to heat,无
personal credit records,无
solo concert, 个人演唱会；独唱音乐会；个人独唱演唱会
personalized license plate,无
daily workout,无
work-related injuries,无
solicit public opinion,无
water safety, 水上安全；水安全；供水安全
official reception,公务接待
government car,无
civil servant,"n. 公务员；政府官员
"
wage earners, 雇佣劳动者；工薪阶层；工薪族
Producer Price Index, 生产者物价指数；生产者价格指数；生产物价指数
PPI,abbr. 生产者物价指数（producer price index）；包装、邮费和保险费（Packing， Postage and Insurance）；处理机/外围设备接口（Processor/Peripheral Interface）
public service advertisement,无
reforms on government vehicles,无
shopping bonanza,无
human trafficking,"n. 人口贩卖
"
take on the name of,无
name something after,无
Clear Your Plate Campaign,无
ad slot,无
advertising endorser,无
square dancing,广场舞；方块舞（四对男女跳的方形舞） (square dance的变形)
national inspection exemption,无
national publicity film,无
state funeral,"na. 国葬
"
National Day floral displays,无
visa-free stay,无
road toll,"un. 通行过路费
"
Zun of Peace,无
certificate maniac,无
child's slave,无
returnee,n. 海归；回国军人；回校重读的学生
Chinese overseas scholastic,无
sponge city,无
Maritime Silk Road,海上丝绸之路
overseas shopping representative,无
overseas Chinese,"n. 华侨
"
international manhunt,无
blood-sweating horse,无
nuclear radiation,"n. 原子辐射
"
New Year blockbuster,无
film to mark the New Year,无
black taxi,= black cab
black jail,无
blacklist,"n. 黑名单
vt. 将…列入黑名单"
black whistle, 黑哨
referee who accepts bribes,无
black clinic,无
Hold Steady, 保持稳定；牢固的保持；不要放松
kickback,n. 回扣，佣金；强烈反应；退回赃物
red envelope, 红包；压岁钱；论坛福利红包
containing money as a gift,无
red-envelope war,无
call forwarding,"un. 呼叫转送
"
Internet banking, 网上银行；网络银行；网路银行
Shanghai-HK Stock Connect,无
prime time,"n. （广播、电视的）黄金时间
"
returning customers,无
disfigured,"n. 丑八怪
v. 损毁…的外形；损害（disfigure的过去分词）"
membership system, 会员系统；会员制；成员资格管理系统
premarital health checkups,无
matchmaking agencies,无
live poultry trade,无
tomb for the living,无
hunger marketing,无
BASIC countries,无
national policy,"na. 国策
"
basic state policy, 基本国策
grassroots community,无
benchmark rate,标准费率；基准费率
airport construction fee, 机场建设费
airport tax,"un. 机场税
"
collective contract,"un. 集体合同
"
group lawsuit,无
central heating,"n. 暖气；集中供暖
"
mascot,"n. 吉祥物；福神（等于mascotte）
"
lucky date,无
auspicious date,无
merit pay, 绩效工资；绩效加薪；绩效薪酬
press card, 记者证；证件核验；新闻记者证
commemorative coin,"un. 纪念币
"
vested interest group,无
metered pricing system,无
work overtime,"un. 加班加点
"
overtime payment, 加班工资；逾时工作补薪；超时工作薪酬
overtime,"n. [劳经] 加班时间；延长时间；加时赛
adj. 超时的；加班的
vt. 使超过时间
adv. 加班地"
family hotel,"na. (特别优待一家人住宿的)家庭旅馆
"
salary raise, 加薪；向老板提出加薪；涨钱
home services industry,无
family firm,"un. 家庭商号
"
sandwich class, 夹心阶层；夹心层；中层阶级
fake mortgage,无
counterfeit note,伪钞，假钞票
fake invoice,无
bogus marriage,n. bogus marriage就是为了移民外国而办理的“假结婚”，bogus的意思是“假的，伪造的”
tomboy,n. 假小子，行为似男孩的顽皮姑娘
price-fixing,价格规定
price cheating,n. 价格欺诈
price war,"n. 价格战（以减价来吸引顾客）
"
diet tea,无
alleviate someone's burdens,无
cut the ribbon, 剪彩；剪裁；丝带
floor space,"na. 地板[楼面]面积；设备占用面积
"
suggested retail price,建议零售价
beer belly,"n. 啤酒肚
"
medal tally,无
travel allowance,"un. 差旅津贴
"
traffic warden,"n. （处理违章停车的）交通管理员
"
tiered power tariffs,无
financial crisis,"na. 财政危机
"
Ballon d'Or curse,无
close-up magic,无
Beijing-Tianjin-Hebei integration,无
economic fugitive,无
budget husband,无
Yasukuni Shrine, 靖国神社；参拜靖国神社；参拜了靖国神社
compete for the post,无
overseas TV series,无
relief goods, 救援物资；救灾物资；救济品
last-gasp goal,n. 指“绝杀球”，是指在比赛的最后时刻攻破对方球门，对方已没有反扑的机会。
military uniform, 军装；军服；戎衣
military training,"na. 军事训练
"
for high school and college students,无
resident identification card,无
drunk driving,"n. 酒后驾驶；酒驾；醉驾
"
open-book exam,无
corkage fee,无
burn the midnight oil,"na. 干到深夜；开夜车
"
work late into the night,"na. 工作到深夜
"
open low-altitude airspace,无
chew the fat,"na. 〈非正式〉闲聊；聊天；侃大山
"
chatter,"n. 唠叨；饶舌；（动物的）啁啾声；潺潺流水声
vt. 喋喋不休地说；使卡嗒卡嗒作声
vi. 唠叨；喋喋不休；（动物等）吱吱叫"
backer,"n. 支持者；赞助人；援助者
"
patron,"n. 赞助人；保护人；主顾
"
scientific literacy,科学素养
sustainable development,"na. 可持续发展
"
blank check,"n. 空白支票
"
empty-nest family,无
empty nesters, 空巢老人；空巢族；空巢期
all-time record,n.历史最高记录
empty promise, 口惠；空洞的承诺；假意的允诺
bad check,"na. 空头支票
"
air rage tribe,无
panic buying, 抢购；恐慌性抢购；恐慌性买入
pet phrase,"n. 囗头禅
"
put a label on, 扣帽子；硬要这样说
countdown party,无
cross-border trade settlement,无
leapfrog development,无
express delivery,"na. 〈英〉快件
"
enrollment expansion,扩招
spam message, 垃圾短信；垃圾电子邮件
cheerleader,n. 拉拉队队员
cheerleading squad,无
caller ID telephone,来电显示电话机
re-education through labor,劳动教养
long-standing problem, [经] 长期存在的问题
vintage car,"n. 老爷车
"
time-honored brand,无
divorce settlement, 离婚协议书；离婚财产协议；离婚协议金
tax reimbursement plan,无
Miss Etiquette,无
rational patriotism,无
coupling effects,无
pile-up,n. 堆存；堆挤
chain collision,无
joint military exercise,无
chain store,"n. 连锁商店
"
be a street vendor,无
upset winner,无
unexpected winner,无
show one's hand,"na. 摊牌；摆计划；表示态度
"
show one's cards,"na. 摊牌；公开自己计划；公开自己的计划
"
head-hunting company,猎头公司
tainted star,无
additional train,无
temporary job, 临时职业；临时工作；临时性工作
interim government,"un. 〔政〕过渡政府
"
rollover data service,无
mobile population, 流动人口；移动人口；城市流动人口
left-behind children, 留守儿童；留守孩子
street children,n. 被抛弃的孩子，流浪在街上的孩子，弃婴
ledger,"n. 总帐，分户总帐；[会计] 分类帐；帐簿；底帐；（手脚架上的）横木
"
outdoor barbeque,无
roadshow,n. 巡回演出；巡回竞选宣传
visa-on-arrival, 落地签订；办落地签；落地签证
naked official,无
travel deposit,无
green card,"n. 绿卡（允许外国人在美国居住和工作的法律证件）
"
green recovery,无
green fireworks,无
Marathon fever,无
being careless,无
being absent-minded,无
two-for-one offer,无
selling point,"n. 卖点
"
roaming service, 漫游；漫游服务；周游
whole class teaching,无
blind reconstruction,无
busy signal,"na. (电话的)占线信号
"
busy tone,"un. 忙音
"
gourmet festival,无
goal-line technology,无
well-informed,adj. 消息灵通的；见多识广的；熟悉的；博学的
army fatigues,无
Visa Waiver Program,无
duty-free shop, 免税商店
face job,无
face consumption,无
temple fair, 庙会；逛庙会；大溪庙会
private investment,"un. 私人投资
"
privately-run enterprise,无
Walk of Fame, 星光大道；好莱坞星光大道；名人大道
celebrity look-alike,无
model teacher,模范教师
breastfeeding,"n. 母乳哺育
v. 用母乳喂养（breastfeed的现在分词）"
Trojan Horse,"n. 特洛伊木马；（来自外部的）颠覆分子（或活动）
"
MOOC, 网络公开课(Massive Open Online Courses)；mass open online course；大规模开放网络课程
disgruntled,adj. 不满的；不高兴的
horseplay at wedding,无
bromeo,无
south-north water diversion,无
insider trading,"n. 内幕交易（根据内线消息买卖股票的违法行为）
"
annual assessment,无
annual income,"un. 年收入；全年所得额
"
Lunar New Year's Eve dinner,无
year-end bonus,"[经] 年终奖金(加薪,红利), 年终额外补贴"
year-end summary,无
diaper diplomacy,无
rural migrant worker,无
tough girl, 胆量的姑娘；女歌手
manly woman,无
goddess,n. 女神，受崇拜的女性
drainage system,"na. 排水系统；【地】水系
"
hammer price,"n. 击槌价
"
sell-off,n. 证券的跌价
play a bit role,无
errand service,无
be snubbed,无
be rebuffed,无
folk remedy, 偏方；民间疗法；民间验方
bay window,"n. 凸窗
"
induce child prostitution,无
scalper,n. 黄牛（专售戏票等牟利）；剥头皮的人；雕刻刀，圆凿子
box office flop,无
top-grossing movie,无
marital fraud,无
parallel import,平行进口
pour cold water on,"na. (对他人计划等)泼冷水；使(人)沮丧
"
water-splashing carnival,无
henpecked,adj. 惧内的
weirdo,n. 古怪的人，奇怪的人
mounted police,"na. 骑警(队)；骑警队
"
cheongsam,n. 旗袍
flag bearer,"un. 旗手
"
corporate culture,"na. 企业文化
"
flag-fall price,无
motel,"n. 汽车旅馆
"
vehicle exhaust,"un. 汽车废气
"
car rental, 租车；汽车租赁；汽车出租
auto replacement,无
baby hatch,无
foreclosure,n. 丧失抵押品赎回权
signing session,无
lurk,"vi. 潜伏；潜藏；埋伏
n. 潜伏；埋伏"
overdue,adj. 过期的；迟到的；未兑的
forced shopping,无
forced marriage, 逼婚；逼婚记；婚姻
compulsory evacuation,无
forced demolition,无
mandatory labeling,无
ticket purchasing plug-in,无
false start,"n. 不成功的开端；起步失误；起跑犯规；抢跑
"
fleece,"n. 羊毛，绒头织物；羊毛制的覆盖物
vt. 剪下羊毛；欺诈，剥削
"
copyright infringement, 侵犯版权；版权侵犯；侵犯著作权
tort liability,"un. 侵权行为赔偿责任
"
parent and child program,无
paternity test,"un. 亲权试验
"
after-school job,无
avian influenza,"un. 禽流感；禽流行性感冒
"
emotional sunstroke,无
clear air turbulence,"un. 晴空湍流；晴空颠簸
"
three new prerequisites for marriage proposal,无
Family Bucket,无
referendum,n. 公民投票权；外交官请示书
world premiere, 全球首映；世界首映；世界首演
stay-at-home dad, 全职爸爸；待在家里的爸爸；家庭主男
global partnership network,无
all-weather friends,无
short-change customers,无
nepotism,n. 裙带关系；起用亲戚
mass texting,无
group interview,"un. 小组面谈
"
mass line, 群众路线；群众路线观
group rental,无
fuel surcharge, 燃油附加费；燃料附加费；燃油费
beat about the bush,"na. 旁敲侧击；拨打草丛搜索猎物；旁敲侧击的刺探人意
"
warm up,"na. 加热；变暖；热中起来；【运】作准备动作
"
prior to physical exercise or a sport competition,无
hotline,n. 热线；热线电话，咨询电话
telephone hotline,"《英文msh词典》Telephone Hotline
[入口词] Telephone Hotline
[主题词] Hotlines
[英文释义] A direct communication system,usually telephone,established for instant contact. It is designed to provide special information and assistance through trained personnel and is used for counseling,referrals,and emergencies such as poisonings and threatened suicides."
talent pool, 人才库；人才池；人才蓄水池
brain drain,"n. 〈非正式〉人才外流；人才流失
"
humanitarian relief, 人道主义救援；人道救援；人道庇护
cloud seeding,"na. (人工降雨的)云的催化
"
artificial weather modification,无
census,"n. 人口普查，人口调查
vt. 实施统计调查"
census taker,"na. (人口)普查员
"
facial identification,无
cyber manhunts,无
human flesh search engine, 人肉搜索；人肉搜索引擎；人肉搜寻引擎
body-painting, 身体彩绘；身体绘画；天体彩绘
shake-up,n. 动摇；剧变；振作；权宜之计；人事改组
kindergarten crunch,无
leap second,n. 闰秒
disadvantaged groups, 弱势群体；劣势群体；弱势社群
vulnerable groups,"un. 易受损害的阶层
"
farewell dinner,"n. 饯别宴
"
sauna weather,无
sex trade crackdown,无
face scan payment,无
Mori girl,无
sand and dust weather,无
couch surfer, 沙发客；沙发冲浪
rush-to-get-married,无
commercial residential building,商品住宅
bar code,"na. (商品上示价的)条纹码
"
commercial bribery, 商业贿赂；商业贿赂行为；商业受贿罪
trademark registration,商标注册
door-to-door service,送货上门服务
go public,"un. 酒馆；公开秘密；公开上市
"
social subsistence fee,无
Society Shake,无
private financing,"un. 私人借贷
"
sexually suggestive ad,无
declare one's personal income for tax purposes,无
divine tune,无
aesthetic fatigue, 审美疲劳
body clock,"n. 生物钟
"
student pool,无
leftover men and women,无
dropout,n. 中途退学；辍学学生
real-name ticket purchase,无
real-name whistleblower,无
real-name delivery,无
real-name authentication,无
be practical and realistic, 实事求是；实事求是的
real-time data,实时数据
diet regimen,无
pilot program,"un. 节目主持人
"
local call,"n. 本地电话；市内电话
"
casual leave,临时假期
surveillance camera, 监控摄像机；监控摄像头；监视录影
government-funded public institution,无
income gap, 收入差距；收入分配差距；收入差别
audience rating,n. 收视率
premiere,"n. 初次的演出；女主角
vi. 初次公演；首次露面
vt. 初次公演；初次上演
adj. 首位的；初次的；女主角的"
lean meat powder,无
mobile phone sidewalk,无
book fair,"n. 书展
"
rat tribe,无
tree hole post,无
clearance sale,"na. 〈英〉出清存货大贱卖
"
be on sale, 甩卖；正被出售；销行
double-decker,n. 双层甲板船；双层公共汽车；双层床；双层夹心三明治
double standard,"n. 双重标准
"
double-edged sword, 双刃剑
two-way charging policy,无
double degree, 双学位；双博士学位；双学位课程
double eyelid, 两倍的眼皮；单眼皮变双眼皮；双眼皮贴
two engines,无
moon-viewing flight,无
smuggled goods,"na. 走私货
"
take-home pay,"n. （扣除税项等之后的）实得工资
"
after-tax salary,[税收] 纳税后薪资
statutory taxation,无
before-tax salary,无
successive postgraduate and doctoral program,无
elope,vi. 私奔；潜逃
Silk Road Fund,无
rote learning, 机械学习；机械式学习；强记学习法
courtyard dwellings,无
quadrangle dwellings,无
Four Comprehensives,无
home delivery,"un. 家庭接生
"
crash course,"n. 速成班；短期培训课程
"
frozen food,"na. 冰冻食品
"
income tax,"n. （个人）所得税
"
fetal education,"《英汉医学词典》fetal education
胎教"
WAGs,"abbr. weighted agreement scores 加权的协议分数
v. （使）摇动，摇摆( wag的第三人称单数 )"
Taiwan authorities,n. 台湾当局（考研写作流行词汇）
space arms race,无
lunar exploration program,无
home leave, 探亲假；回籍假；家庭照顾假
danmaku screening,无
tax evasion,"n. 偷税；漏税；（非法）逃税
"
set meal, 套餐；客饭；份儿饭
season ticket,"n. 长期票（如火车通勤票、公交车月票、体育比赛套票等）
"
pupils with special talent,无
Special Drawing Rights,"un. 〔经〕特别提款权
"
SDR,abbr. 国际货币基金组织的特别提款权（special drawing rights）；计数据记录器（Statistical Data Recorder）；系统定义记录（System Definition Record）
poverty-stricken area, 贫困地区；贫穷地区；贫困落后山区
close-up,n. [电影] 特写镜头，特写；小传
shot,"n. 发射；炮弹；射手；镜头
v. 射击（shoot的过去式和过去分词）
adj. 用尽的；破旧的；杂色的，闪光的"
rate hike, 利率上调；加息；调涨价格
sports lottery, 体彩；体育彩票；运动彩券
scapegoat,"n. 替罪羊，替人顶罪者；替身
vt. 使成为…的替罪羊"
surrogate exam-taker,无
additive,"n. 添加剂，添加物
adj. 附加的；[数] 加法的"
salary adjustment, 薪金调整
job-hopping,n. 跳槽
trade-in,n. 折价物；折合价
pre-movie ad,无
bill sticker,n. 张贴广告者
die-hard fan,无
iron-cap prince,无
fight pollution with an iron hand,无
public hearing,"n. 公证会
"
wanted list, 通缉名单；寻人
fellow sufferers,"na. 难友
"
investment immigration,无
vote abstention,无
overdraft,"n. [金融] 透支；[金融] 透支额
vt. [金融] 透支"
graffiti,n. 墙上乱写乱画的东西（graffito的复数形式）
nouveau rich,无
local specialty, 土特产；特色点心；地方特产
group-buying, 团购（团购就是团体购物，指认识或不认识的消费者联合起来，加大与商家的谈判能力，以求得最优价格的一种购物方式。）
off-line,"adj. 离线的；[计] 脱机的；不连结到线上的
adv. 脱机地；脱线地；不实时地"
talk show,"n. 脱口秀
"
land reserves, 囤地
hoard and profiteer,无
take-out,"n. 取消银行贷款
adj. 供应外卖食物的"
foreign exchange reserve pool,无
bendgate,无
trump card,"n. 王牌；绝招；杀手锏
"
online greeting,无
phishing,n. 网络钓鱼；网络欺诈（以虚假的身份和形象随机骗取个人帐号和密码等）
online rumors,无
online booking system,无
online tomb-sweeping,无
Internet power,无
busy season,"n. 农忙季节
"
height of the season,无
seek advice from netizens on micro blog,无
micro film, 微电影
WeChataholics,无
Smile Challenge,无
unapproved construction projects,无
GDP supremacy,无
child molestation, 猥亵儿童；猥亵娈童案；儿童性骚扰
comfort woman,"na. (二战时期日本军队中的)慰安妇
"
cultural relic, 文物；文化遗产；文化遗存
liberal arts,"n. 文科
"
tattoo,"n. 文身
vt. 刺花纹于
vi. 刺花样"
accountability system, 问责制；责任追究制度；问责制度
sleeper bus,无
own goal,"n. 【体】乌龙球；咎由自取；搬起石头砸自己的脚
"
open-ended contract, 无固定期限合同
unconditional returns,无
No-Face Day,无
unmanned aerial vehicles, 无人机；无人飞行器；无人驾驶飞行器
intangible asset,"n. 无形资产
"
driving without a license,无
"smoke-free ""buffer zone""",无
five-kernel mooncake,无
smog documentary,无
property management, 物业管理；资产管理；财产管理
estate management,"un. 地产管理
"
material incentive,"un. 物质刺激
"
Western-style butler,无
sunset industry,"n. 夕阳产业
"
Project Hope, 希望工程；世界健康基金会；美国世界健康基金会
money laundering, 洗钱；洗黑钱；洗黑钱活动
brainwashing pop song,无
review-before-release system,无
on-site recruiting,无
live broadcast,"n. 直播
"
infant milk powder quota order,无
speed limit,"n. （道路的）最高车速限制
"
blind date,"n. 相亲；相亲的对象
"
curfew,n. 宵禁；宵禁令；晚钟；打晚钟时刻
tabloid,"n. 小报；药片；文摘；小型画报
adj. 小报式的；缩略的；轰动性的；扼要的"
houses with limited property rights,无
limited-property-rights housing,无
grapevine,n. 葡萄树；葡萄藤；小道消息；秘密情报网
hearsay,"n. 传闻，谣言
adj. 传闻的，风闻的"
micro-credit company,无
little emperor, 小皇帝；十三岁封王
only child,"n. 独生子（或女）
"
a private coffer,无
slush fund,"n. （尤指用于政治目的的）非法基金
"
small displacement car,无
campus recruitment quota,无
school bus,"na. 校车
"
filial piety,"na. 孝道；孝顺
"
comedian,n. 喜剧演员；滑稽人物
office building,"n. 办公楼
"
heretic sect,无
new favorite, 新宠；新欢；新爱
new Chinese-style outfit,无
new normal, 新常态；新的常态；新标准
psychological counseling,"un. 心理咨询
"
soul soother,无
salary reform,无
new-energy vehicles,无
rising star, 明日之星；新秀；后起之秀
up-and-coming star,新秀
credit squeeze,"un. 信贷紧缩；信用紧缩
"
integrity rating,无
news feed ad,无
star-rated hotels,无
extract confessions by torture,无
be tortured into confessing,无
sex discrimination,"un. 性别鉴定
"
gender discrimination, 性别歧视；社会性别歧视；性别歧视的社会问题探讨
sexual assault, 性侵犯；性侵害；性攻击
sexual harassment,"n. 性骚扰
"
sexual prematurity,性早熟
chip card, 芯片卡
PDA,abbr. 个人数字助理（等于Personal Digital Assistant）；秀恩爱（Public Display of Affection）
Public Display of Affection,无
renew one's visa,无
renew contract,无
deceptive advertising, 欺骗性广告；虚假广告；虚伪广告
electoral fraud, 选举舞弊；选举操控手法；做票
promotional video, 宣传视频；宣传片；视频宣传
academic credit system,无
learn from Lei Feng,无
fabricate academic credentials,无
students' affairs division,无
academic cheating, 学术造假；作弊行为；学术欺诈
sweatshop,n. 血汗工厂；剥削劳力的工厂
smoking of bacon,无
Asia Infrastructure Investment Bank,无
AIIB, 亚洲智能建筑学会；Asian Institute of Intelligent Buildings；鐖辩
raise the retirement age,无
eye exercises, 眼保健操；眼操；眼保操
fluffy catkins,无
pension system,"un. 养老金制度
"
elderly care service,无
nest egg,"n. 备用的钱；储备金
"
lottery,n. 彩票；碰运气的事，难算计的事；抽彩给奖法
cash cow,"n. 【商】摇钱树；最赚钱的商品
"
drug driving, 药驾；药后驾驶；毒驾
diploma mill,"na. 〈美俚〉滥发文凭的大学
"
evening university,夜大学
night university,无
evening market,无
night fair,无
disposable dishware,无
one-off consumption,无
first-tier city,无
one-person household,单身户
a full range of,无
end-to-end,n. [计] 端对端；首尾相连
the Belt and Road,无
doctor-patient disputes,无
medical disputes, 医疗纠纷；一般医疗纠纷；医患纠纷
medical insurance,"un. 医疗保险
"
habitable city,无
livable city, 宜居城市；适宜居住城市；适居的城市
mobile payment, 移动支付；行动支付；手机支付
suspected case,"un. 可疑病例
"
old-for-new policy,无
house-for-pension,无
compulsory education,"na. 强迫教育
"
extradition request,无
invisible income,无
off-payroll income,无
premature death,"n. 夭折
"
baby formula, 婴幼儿配方奶粉；婴儿奶粉；婴儿配方
emergency shelter,应急掩蔽部
this year's graduates, 应届毕业生；本届毕业生
examination-oriented education, 应试教育
congestion fee,无
shame parade,无
study tour, 游学；考察学习课程；美国游学
cable television,"n. 有线电视
"
paid post deletion,无
cybersquatting,域名抢注
jailhouse bully,无
total lunar eclipse, 月全食；月全蚀；月食可分为全食
pre-pregnancy physical examinations,无
miscellaneous expenses,"na. 杂费
"
post-disaster reconstruction,无
rip somebody off, 宰人
reclaimed water,"un. 回收水；回水
"
sponsorship fee,无
puppy love,早年初恋；少男少女间短暂的爱情（等于calf love）
early onset of puberty,无
school-selection fee,无
charity fraud,无
noodles with fried bean and meat sauce,无
standing-only ticket,无
fried chicken and beer,无
reception costs,无
signature dish, 招牌菜；拿手菜；章芬擅菜
vacuum package,真空包装
reality show, 以真实故事为题材的电视节目，如救难节目、火灾节目和警察节目。
pillow talk, 枕边细语；枕边风；枕边密语
political asylum, 政治庇护；政治避难；欲争得政治庇护
administrative transparency,无
direct-sale store,无
occupational hazard,"un. 职业危害；职业病；职业性危害
"
career bottleneck,无
stranded passenger,无
think tank,"n. 专家小组
"
brain trust,"na. (一般)专家顾问团；〈英〉(广播电台中给听众解答问题的)答问员
"
wisdom of the people's livelihood,无
Chinese dream,无
China hand, 中国通；中国手；一位中国通的自述
intermediary agent,媒介
